timestamp,ax,ay,az,gx,gy,gz,delay_ms,classe_prevista,tempo_s,Fase
1774299885606,-0.0773833,0.998097,0.0616855,0.184468,0.0373281,0.046382599999999996,3.29277,1,11.11,3
1774299885620,-0.0784835,0.99928,0.0594576,0.185738,0.0401199,0.0404282,3.28002,1,11.124,3
1774299885633,-0.0804644,1.00108,0.0570603,0.187351,0.0421299,0.035578500000000006,3.28426,3,11.137,3
1774299885646,-0.082017,1.00073,0.0535399,0.189457,0.044305500000000005,0.0302644,3.28929,3,11.15,3
1774299885660,-0.0826475,1.0011,0.0529601,0.189341,0.0463077,0.0239167,3.27858,3,11.164,3
1774299885673,-0.0812326,1.00008,0.0485087,0.192714,0.0476538,0.0194065,3.29401,3,11.177,3
1774299885687,-0.0826448,1.00454,0.0461097,0.192382,0.048076600000000004,0.0154877,3.2836,3,11.191,3
1774299885700,-0.0836857,1.00925,0.0357545,0.199493,0.0488781,0.0129961,3.31762,3,11.204,3
1774299885713,-0.0860583,1.01518,0.0316284,0.199102,0.048988199999999996,0.008961519999999999,3.28789,3,11.217,3
1774299885727,-0.0829034,1.00049,0.0375909,0.203413,0.050526400000000006,0.00675466,3.29854,3,11.231,3
1774299885740,-0.0840717,1.00693,0.0313132,0.21023499999999998,0.053931,0.0070994100000000004,3.28919,3,11.244,3
1774299885754,-0.0848687,1.01431,0.0253741,0.21435400000000002,0.0586731,0.007480489999999999,3.27758,3,11.258,3
1774299885767,-0.0878836,1.02102,0.015755,0.220687,0.0651532,0.00895776,3.2991,3,11.271,3
1774299885781,-0.0878839,1.01778,0.0161016,0.224275,0.0726486,0.00802283,3.30608,3,11.285,3
1774299885794,-0.0918026,1.02879,0.00352475,0.23348500000000003,0.08275080000000001,0.00957672,3.31071,3,11.298,3
1774299885807,-0.0909696,1.02839,0.00978741,0.23548200000000002,0.0915499,0.0103755,3.27267,3,11.311,3
1774299885821,-0.0949669,1.03433,-0.000559445,0.251861,0.10266,0.0158395,3.2969,3,11.325,3
1774299885834,-0.0921056,1.03216,0.0111776,0.258111,0.11081300000000001,0.0177513,3.28121,3,11.338,3
1774299885848,-0.0891773,1.03159,0.0133366,0.28056000000000003,0.120149,0.024921099999999998,3.29106,3,11.352,3
1774299885861,-0.0923989,1.04757,0.0105539,0.30234,0.12403700000000001,0.0335856,3.28093,3,11.365,3
1774299885875,-0.0965045,1.05969,0.00904604,0.325917,0.12690200000000001,0.0404753,3.29655,3,11.379,3
1774299885888,-0.0990319,1.06766,0.00851164,0.35117400000000004,0.129543,0.0456939,3.28488,3,11.392,4
1774299885901,-0.101737,1.0826,0.00520326,0.378589,0.13361,0.0548246,3.31836,3,11.405,4
1774299885915,-0.100427,1.09609,0.00370516,0.407763,0.136131,0.0656269,3.30014,3,11.419,4
1774299885928,-0.100904,1.10982,0.00093796,0.4399,0.137042,0.0752837,3.28715,3,11.432,4
1774299885942,-0.0999501,1.11965,0.00228494,0.47382199999999997,0.141883,0.08867219999999999,3.29365,3,11.446,4
1774299885955,-0.0969457,1.13157,-0.000324058,0.508715,0.146946,0.10242699999999999,3.28908,3,11.459,4
1774299885969,-0.0912967,1.13827,-0.00334212,0.545864,0.148385,0.11036699999999999,3.28652,3,11.473,4
1774299885982,-0.087667,1.14032,-0.007755,0.583583,0.14499,0.111755,3.28384,3,11.486,4
1774299885996,-0.0830217,1.13846,-0.0119642,0.620759,0.141743,0.112547,3.58747,3,11.5,4
1774299886009,-0.0791881,1.13291,-0.0182849,0.652582,0.136421,0.114391,3.28249,3,11.513,4
1774299886022,-0.0757357,1.12727,-0.0265499,0.682684,0.12662400000000001,0.116388,3.27734,3,11.526,4
1774299886036,-0.0800575,1.1179,-0.0380943,0.70852,0.116173,0.116702,3.28436,3,11.54,4
1774299886049,-0.0918564,1.10629,-0.0535327,0.728325,0.108393,0.11475099999999999,3.27371,3,11.553,4
1774299886063,-0.104356,1.08437,-0.0657976,0.7325470000000001,0.11625500000000001,0.111919,3.27676,3,11.567,4
1774299886076,-0.115701,1.06187,-0.0763943,0.714433,0.117818,0.10103400000000001,3.30734,3,11.58,4
1774299886089,-0.134163,1.02942,-0.0601878,0.667769,0.123507,0.0833049,3.28988,3,11.593,4
1774299886103,-0.150856,1.02612,-0.043003,0.614298,0.150204,0.0518705,3.3188,3,11.607,5
1774299886116,-0.164459,1.01899,-0.0288333,0.573696,0.187865,0.0101844,3.28516,3,11.62,5
1774299886129,-0.178386,1.00714,-0.0125392,0.524945,0.24213300000000001,-0.0273394,3.2963,3,11.633,5
1774299886143,-0.183236,0.995471,0.00595698,0.474634,0.303711,-0.0630281,3.29395,3,11.647,5
1774299886156,-0.184384,0.980625,0.0232066,0.421605,0.35803199999999996,-0.0993012,3.2934,3,11.66,5
1774299886170,-0.18609,0.966802,0.0401716,0.365632,0.41146,-0.12802,3.2926,3,11.674,5
1774299886183,-0.179158,0.95195,0.0542486,0.310414,0.456603,-0.153133,3.29634,3,11.687,5
1774299886196,-0.16717,0.93825,0.0669733,0.251875,0.486523,-0.172847,3.31317,3,11.7,5
1774299886210,-0.154531,0.926078,0.0798889,0.194183,0.500677,-0.181161,3.30529,3,11.714,5
1774299886223,-0.144367,0.914267,0.0907876,0.132654,0.500408,-0.175765,3.31716,3,11.727,5
1774299886237,-0.133633,0.908022,0.101284,0.0694243,0.48701700000000003,-0.162801,3.30708,4,11.741,5
1774299886250,-0.126337,0.900738,0.108984,0.00671019,0.465967,-0.143423,3.28954,5,11.754,5
1774299886264,-0.12015,0.896121,0.115589,-0.059594100000000004,0.439625,-0.119047,3.29699,5,11.768,5
1774299886277,-0.115793,0.895806,0.12183,-0.124671,0.410088,-0.0943641,3.29878,4,11.781,5
1774299886290,-0.113227,0.896498,0.126463,-0.188808,0.38050400000000006,-0.0699225,3.2931,4,11.794,5
1774299886304,-0.111094,0.899743,0.13035,-0.251532,0.352592,-0.0457771,3.30612,5,11.808,5
