timestamp,ax,ay,az,gx,gy,gz,roll_k,pitch_k,delay_ms,classe_prevista,tempo_s,Fase
1774300229081,0.0250029,1.05436,-0.286383,0.172044,0.015487,-0.0455112,0,0,3.71468,2,40.308,1
1774300229094,0.0235785,1.04973,-0.279229,0.18080100000000002,0.0144256,-0.044405599999999996,0,0,3.27638,2,40.321,1
1774300229108,0.026028,1.04888,-0.274705,0.18241800000000002,0.0128585,-0.0416622,0,0,3.29384,2,40.335,1
1774300229121,0.0260535,1.04377,-0.267689,0.17881,0.0101034,-0.039094000000000004,0,0,3.27219,1,40.348,1
1774300229135,0.0243909,1.03768,-0.259356,0.17264600000000002,0.008761640000000001,-0.0361475,0,0,3.27582,1,40.362,1
1774300229148,0.0227691,1.03707,-0.25238,0.16622499999999998,0.00868552,-0.0332679,0,0,3.28728,1,40.375,1
1774300229161,0.0210473,1.03545,-0.245475,0.16006900000000002,0.00862223,-0.030965,0,0,3.28406,1,40.388,1
1774300229175,0.0187282,1.03674,-0.239641,0.153279,0.00774466,-0.0297634,0,0,3.28908,1,40.402,1
1774300229188,0.0177917,1.03261,-0.236709,0.147066,0.006907750000000001,-0.0290573,0,0,3.29645,1,40.415,1
1774300229202,0.0161274,1.02912,-0.231343,0.14196,0.00637469,-0.0289731,0,0,3.30377,5,40.429,2
1774300229215,0.0137992,1.03029,-0.227109,0.13706300000000002,0.00612417,-0.0290136,0,0,3.27704,5,40.442,2
1774300229228,0.0130143,1.02482,-0.220754,0.131211,0.00652997,-0.028807700000000002,0,0,3.34586,5,40.455,2
1774300229242,0.0123063,1.02322,-0.215061,0.12554700000000002,0.00633497,-0.028532099999999998,0,0,3.30864,5,40.469,2
1774300229255,0.0133697,1.02303,-0.209254,0.119498,0.006005310000000001,-0.0273427,0,0,3.28853,5,40.482,2
1774300229269,0.0132868,1.02243,-0.204416,0.113159,0.00557854,-0.026151499999999998,0,0,3.26575,5,40.496,2
1774300229282,0.012599,1.02067,-0.200003,0.107343,0.00517143,-0.0244877,0,0,3.29102,5,40.509,2
1774300229295,0.0108201,1.02142,-0.194951,0.10183500000000001,0.004851380000000001,-0.023336700000000002,0,0,3.31377,5,40.522,2
1774300229309,0.010411,1.02065,-0.191422,0.0965129,0.0042752400000000005,-0.0222846,0,0,3.26223,5,40.536,2
1774300229322,0.00931508,1.0191,-0.185634,0.0915489,0.0035130400000000003,-0.0218782,0,0,3.26636,5,40.549,2
1774300229335,0.0079895,1.01862,-0.180175,0.08672200000000001,0.00283642,-0.0214817,0,0,3.27479,5,40.562,2
1774300229349,0.0070849,1.0181,-0.177388,0.082534,0.0022362799999999998,-0.02139,0,0,3.2853,5,40.576,2
1774300229362,0.00572872,1.01823,-0.174403,0.0782,0.0016569700000000002,-0.0213548,0,0,3.31925,5,40.589,2
1774300229376,0.00570241,1.01736,-0.171484,0.0742674,0.00104592,-0.0212574,0,0,3.28336,5,40.603,2
1774300229389,0.00521813,1.01614,-0.168555,0.07058110000000001,0.000310717,-0.0211098,0,0,3.3585,5,40.616,2
1774300229402,0.00472301,1.01606,-0.165411,0.0669132,-6.21062e-05,-0.020649400000000002,0,0,3.2796,5,40.629,2
1774300229416,0.00421751,1.01428,-0.161968,0.0630614,-0.000187078,-0.0201205,0,0,3.28353,5,40.643,2
