Starting real-time gait reader (100Hz). Press any key to stop.
Expected Class Range: 1-5.
[OK] MPU6050 initialized on /dev/i2c-1 (0x68)
ax:-0.0537109 ay:-0.900635 az:-0.457275 gx:-7.69466 gy:-0.633588 gz:-6.21374 | Class: 1 | Delay: 3.27302 ms
ax:-0.012207 ay:-0.762939 az:-0.545898 gx:-5.56489 gy:4.40458 gz:0.664122 | Class: 1 | Delay: 3.28091 ms
ax:0.0808105 ay:-0.703369 az:-0.609375 gx:2.09924 gy:4.58015 gz:-0.664122 | Class: 5 | Delay: 3.27458 ms
ax:0.15625 ay:-0.741943 az:-0.634521 gx:12.7023 gy:0.839695 gz:-1.77863 | Class: 5 | Delay: 3.27385 ms
ax:0.173584 ay:-0.841309 az:-0.596436 gx:18.2214 gy:-4.1145 gz:1.16794 | Class: 3 | Delay: 3.2753 ms
ax:0.122559 ay:-0.897461 az:-0.546387 gx:21.2977 gy:-7.47328 gz:3.45802 | Class: 1 | Delay: 3.27235 ms
ax:0.050293 ay:-0.898682 az:-0.51001 gx:23.374 gy:-6.98473 gz:1.92366 | Class: 1 | Delay: 3.27117 ms
ax:0.0214844 ay:-0.89502 az:-0.508789 gx:23.0458 gy:-4.38168 gz:0.267176 | Class: 3 | Delay: 3.2708 ms
ax:0.046875 ay:-0.906006 az:-0.530273 gx:22.8015 gy:-1.89313 gz:0.0687023 | Class: 3 | Delay: 3.27898 ms
ax:0.0883789 ay:-0.93457 az:-0.543457 gx:20.9924 gy:-1.0229 gz:0.832061 | Class: 5 | Delay: 3.27993 ms
ax:0.0993652 ay:-0.959717 az:-0.529297 gx:17.0305 gy:-2.16794 gz:-0.0610687 | Class: 5 | Delay: 3.27608 ms
ax:0.078125 ay:-0.924316 az:-0.526367 gx:15.6641 gy:-2.62595 gz:-1.36641 | Class: 5 | Delay: 3.27432 ms
ax:0.0649414 ay:-0.915527 az:-0.513672 gx:14.8244 gy:-2.87786 gz:-1.0687 | Class: 5 | Delay: 3.26693 ms
ax:0.0668945 ay:-0.931885 az:-0.515381 gx:11.916 gy:-2.12977 gz:0.244275 | Class: 5 | Delay: 3.27389 ms
ax:0.0825195 ay:-0.973877 az:-0.535645 gx:8.32061 gy:-2.21374 gz:-1.10687 | Class: 5 | Delay: 3.26841 ms
ax:0.0808105 ay:-0.998779 az:-0.515137 gx:2.99237 gy:-2.56489 gz:-3.41221 | Class: 5 | Delay: 3.27165 ms
ax:0.0583496 ay:-1.01465 az:-0.503174 gx:-4.05344 gy:-1.9084 gz:-3.41985 | Class: 1 | Delay: 3.28132 ms
ax:0.0437012 ay:-1.00928 az:-0.504883 gx:-11.1908 gy:-0.0458015 gz:-3.25191 | Class: 5 | Delay: 3.27926 ms
ax:0.0344238 ay:-1.00635 az:-0.509277 gx:-19.3053 gy:2.59542 gz:-3.82443 | Class: 5 | Delay: 3.27226 ms
ax:0.0354004 ay:-1.00317 az:-0.504639 gx:-27.542 gy:4.12214 gz:-4.85496 | Class: 5 | Delay: 3.27061 ms
ax:0.0495605 ay:-1.00464 az:-0.516846 gx:-35.1756 gy:5.51908 gz:-5.61832 | Class: 5 | Delay: 3.27152 ms
ax:0.0720215 ay:-0.973145 az:-0.515625 gx:-40.5878 gy:6.1145 gz:-6.12977 | Class: 5 | Delay: 3.27148 ms
ax:0.0793457 ay:-0.895752 az:-0.527588 gx:-41.2595 gy:5.83206 gz:-6.96183 | Class: 5 | Delay: 3.27174 ms
ax:0.0861816 ay:-0.817627 az:-0.55957 gx:-38.4275 gy:5.8626 gz:-6.9084 | Class: 5 | Delay: 3.27974 ms
ax:0.101074 ay:-0.7854 az:-0.586914 gx:-33.145 gy:4.9771 gz:-5.54962 | Class: 5 | Delay: 3.27378 ms
ax:0.104492 ay:-0.835449 az:-0.598389 gx:-31.0611 gy:4.24427 gz:-3.30534 | Class: 5 | Delay: 3.27026 ms
ax:0.102539 ay:-0.872559 az:-0.591797 gx:-28.4656 gy:3.67176 gz:-2.71756 | Class: 5 | Delay: 3.27208 ms
ax:0.104736 ay:-0.864014 az:-0.608887 gx:-25.4351 gy:3.24427 gz:-4.37405 | Class: 5 | Delay: 3.2706 ms
ax:0.102783 ay:-0.823486 az:-0.601318 gx:-23.9313 gy:1.87023 gz:-6.61832 | Class: 5 | Delay: 3.27163 ms
ax:0.110352 ay:-0.819092 az:-0.602539 gx:-20.8855 gy:0.465649 gz:-5.05344 | Class: 5 | Delay: 3.26934 ms
ax:0.120117 ay:-0.810547 az:-0.614014 gx:-16.0534 gy:-0.732824 gz:-1.69466 | Class: 5 | Delay: 3.27069 ms
