timestamp,ax,ay,az,gx,gy,gz,delay_ms,classe_prevista
1777240190309,0.0907769,1.2196,-0.142158,1.64023,-0.494893,0.649032,3.44677,4
1777240190323,0.0533935,1.14025,-0.161326,1.66023,-0.531091,0.641623,3.35242,4
1777240190336,0.0119446,1.04538,-0.193977,1.62809,-0.537585,0.60302,3.4507,4
1777240190350,-0.0233039,0.947728,-0.221208,1.54787,-0.515083,0.538332,3.43249,4
1777240190363,-0.0402925,0.878873,-0.239804,1.43211,-0.474664,0.446939,3.45768,4
1777240190377,-0.0400455,0.837217,-0.25433,1.30118,-0.43059,0.343507,3.37727,4
1777240190392,-0.0252962,0.80473,-0.265563,1.16313,-0.397754,0.24645,4.70444,4
1777240190405,-0.00734808,0.780174,-0.27466,1.0263,-0.381244,0.171824,3.3667,4
1777240190419,0.00701872,0.751763,-0.285561,0.890023,-0.379068,0.124865,3.98858,4
1777240190433,0.0146774,0.716579,-0.29663,0.751033,-0.38467,0.0995047,3.46371,4
1777240190446,0.0152646,0.681205,-0.308052,0.606483,-0.393417,0.0872863,3.38414,4
1777240190460,0.00898537,0.646514,-0.318408,0.45607,-0.400551,0.0814953,3.45397,4
1777240190473,-0.000885638,0.615632,-0.327128,0.29972,-0.402186,0.0776263,3.35492,4
1777240190487,-0.0144345,0.589357,-0.334894,0.1426,-0.395658,0.0746936,3.4589,4
1777240190500,-0.0315509,0.568624,-0.342485,-0.00570682,-0.379159,0.0721438,3.38047,4
1777240190515,-0.0483371,0.55312,-0.349129,-0.145695,-0.350394,0.0669624,4.66214,4
1777240190529,-0.0612374,0.545717,-0.353798,-0.277831,-0.311805,0.0598622,3.37603,4
1777240190543,-0.0664025,0.545303,-0.357069,-0.402554,-0.267725,0.055177,3.92742,4
1777240190556,-0.0645266,0.550773,-0.359116,-0.520282,-0.222494,0.0559571,3.4404,4
1777240190570,-0.0567714,0.565112,-0.360007,-0.631407,-0.177926,0.0576953,3.3484,4
1777240190583,-0.0449458,0.586698,-0.363614,-0.736298,-0.136577,0.0578888,3.48494,4
1777240190597,-0.0293191,0.604609,-0.370634,-0.835305,-0.101568,0.0617667,3.37255,4
1777240190611,-0.0107619,0.613408,-0.376768,-0.928759,-0.0745638,0.0702399,3.4666,4
1777240190624,0.00600119,0.625479,-0.381407,-1.01697,-0.0546241,0.0790043,3.39114,4
1777240190638,0.0185236,0.655881,-0.384868,-1.10023,-0.0395495,0.085924,3.44546,4
1777240190651,0.0259615,0.689796,-0.390244,-1.17883,-0.027183,0.0947934,3.55903,4
1777240190665,0.0266416,0.721055,-0.395209,-1.25301,-0.0143627,0.105739,3.36784,4
1777240190678,0.0186149,0.743138,-0.398047,-1.32304,0.00176771,0.116931,3.4457,4
1777240190692,0.00695758,0.769624,-0.395536,-1.38913,0.0268759,0.124331,3.36855,4
1777240190705,-0.00355288,0.804376,-0.388769,-1.45152,0.0590837,0.131187,3.46307,4
1777240190719,-0.00988583,0.833713,-0.380574,-1.51041,0.0936427,0.141675,3.41973,4
1777240190733,-0.0100023,0.859967,-0.367074,-1.56599,0.124067,0.155305,3.47142,4
1777240190746,-0.00305968,0.906481,-0.351428,-1.61846,0.145445,0.165952,3.39972,4
1777240190760,0.00705411,0.961287,-0.340644,-1.6663,0.155287,0.165224,3.55547,4
1777240190774,0.0151901,1.01087,-0.335231,-1.69613,0.154314,0.150458,3.43022,5
1777240190787,0.0233353,1.05242,-0.337434,-1.71234,0.146052,0.128389,3.3361,5
1777240190800,0.0352278,1.09262,-0.348388,-1.71279,0.13127,0.108316,3.42203,5
1777240190814,0.046193,1.13656,-0.371271,-1.69079,0.109558,0.105362,3.37621,5
1777240190828,0.0447523,1.17515,-0.40547,-1.64348,0.0857245,0.115278,3.4504,5
1777240190841,0.0188245,1.20635,-0.450185,-1.57167,0.0703612,0.126355,3.36016,5
1777240190855,-0.0755042,1.36305,-0.376427,-1.38377,0.0774146,0.0656366,3.52503,5
1777240190868,-0.0694203,1.27102,-0.314051,-1.23832,0.0682252,0.0491864,3.43947,5
1777240190882,-0.0637871,1.26391,-0.255653,-1.07369,0.057209,0.0428692,3.37903,5
1777240190895,-0.0558406,1.25011,-0.215773,-0.912488,0.0444557,0.0277945,3.45986,5
1777240190909,-0.0592543,1.23074,-0.186785,-0.757585,0.0301998,0.015518,3.36373,5
1777240190922,-0.0543557,1.20909,-0.163065,-0.623107,0.0127572,0.0070258,3.47979,5
1777240190936,-0.049458,1.2032,-0.144757,-0.497059,-0.00684144,-0.00196199,3.3889,5
1777240190949,-0.0463962,1.20019,-0.127311,-0.373671,-0.0214571,-0.00819338,3.4667,5
1777240190963,-0.0442183,1.18329,-0.120362,-0.262813,-0.0308297,-0.0153598,3.43723,5
1777240190977,-0.0470103,1.16986,-0.117677,-0.17039,-0.0318622,-0.0137617,3.52796,5
1777240190990,-0.0449349,1.15751,-0.113322,-0.0924549,-0.0293727,-0.0121763,3.43953,5
1777240191004,-0.0439892,1.14566,-0.112156,-0.027858,-0.0258497,-0.0101659,3.36551,1
1777240191017,-0.0447126,1.13622,-0.112151,0.0239737,-0.0225842,-0.00523672,3.46007,1
1777240191031,-0.0427934,1.12754,-0.112474,0.0657002,-0.0193606,0.000105339,3.3774,1
1777240191044,-0.0407765,1.12053,-0.117094,0.0947198,-0.0156669,0.0028698,3.47508,1
1777240191058,-0.0414609,1.10902,-0.119126,0.116716,-0.00859229,0.00571469,3.53699,1
1777240191072,-0.0359992,1.09803,-0.123728,0.132962,-0.00226131,0.00602357,3.43688,1
1777240191085,-0.028735,1.08374,-0.13218,0.142687,0.00606102,0.00228162,3.43244,1
1777240191099,-0.024713,1.0774,-0.131805,0.146223,0.0136254,-0.00338282,3.38018,1
