Starting real-time gait reader (100Hz). Press any key to stop.
Expected Class Range: 1-5.
[OK] MPU6050 initialized on /dev/i2c-1 (0x68)
ax:-0.121582 ay:-0.996094 az:-0.0771484 gx:0.0305344 gy:-1.56489 gz:0.78626 | Class: 5 | Delay: 3.26897 ms
ax:-0.118652 ay:-0.993896 az:-0.0844727 gx:-0.0763359 gy:-1.15267 gz:0.687023 | Class: 5 | Delay: 3.2784 ms
ax:-0.117432 ay:-0.989258 az:-0.0783691 gx:-0.564885 gy:-0.977099 gz:0.763359 | Class: 5 | Delay: 3.2661 ms
ax:-0.122559 ay:-0.990967 az:-0.0710449 gx:-0.10687 gy:-1.03053 gz:0.656489 | Class: 5 | Delay: 3.26882 ms
ax:-0.12207 ay:-0.991211 az:-0.0834961 gx:0.0763359 gy:-1.17557 gz:0.748092 | Class: 1 | Delay: 3.26884 ms
ax:-0.108398 ay:-0.989258 az:-0.0749512 gx:-0.366412 gy:-1.0916 gz:0.709924 | Class: 5 | Delay: 3.30116 ms
ax:-0.115967 ay:-0.990723 az:-0.0783691 gx:-0.122137 gy:-1.06107 gz:0.633588 | Class: 1 | Delay: 3.27764 ms
ax:-0.123291 ay:-0.988037 az:-0.0803223 gx:0.0152672 gy:-1.03817 gz:0.694656 | Class: 1 | Delay: 3.27525 ms
ax:-0.11499 ay:-0.984375 az:-0.074707 gx:0.274809 gy:-1.23664 gz:0.503817 | Class: 1 | Delay: 3.2978 ms
ax:-0.117432 ay:-0.981689 az:-0.0761719 gx:0.0610687 gy:-0.954198 gz:0.305344 | Class: 1 | Delay: 3.45181 ms
ax:-0.0979004 ay:-1.00073 az:-0.0805664 gx:-0.549618 gy:-1.16031 gz:0.396947 | Class: 5 | Delay: 3.31888 ms
ax:-0.116455 ay:-0.89209 az:-0.114014 gx:3.41985 gy:3.28244 gz:0.519084 | Class: 5 | Delay: 3.26729 ms
ax:-0.140381 ay:-1.03589 az:-0.0617676 gx:-4.25191 gy:-0.549618 gz:2.26718 | Class: 5 | Delay: 3.2604 ms
ax:-0.124756 ay:-0.958984 az:-0.0844727 gx:3.00763 gy:1.41221 gz:-0.923664 | Class: 5 | Delay: 5.621 ms
ax:-0.14502 ay:-0.964844 az:-0.0256348 gx:6.9542 gy:8.92366 gz:-1.54962 | Class: 5 | Delay: 3.4539 ms
ax:-0.160645 ay:-1.03394 az:-0.00927734 gx:2.22901 gy:24.8473 gz:-1.43511 | Class: 5 | Delay: 3.29336 ms
ax:-0.175537 ay:-0.951416 az:0.0668945 gx:5.1374 gy:46.2901 gz:-2.39695 | Class: 5 | Delay: 3.27014 ms
ax:-0.0571289 ay:-1.00488 az:-0.140625 gx:8.68702 gy:63.3664 gz:0.290076 | Class: 5 | Delay: 3.25566 ms
ax:-0.140137 ay:-0.832764 az:0.247314 gx:19.7634 gy:54.9466 gz:19.8626 | Class: 5 | Delay: 3.25856 ms
ax:-0.233398 ay:-1.0271 az:0.0439453 gx:-0.793893 gy:80.0153 gz:7.30534 | Class: 5 | Delay: 3.25091 ms
ax:-0.100098 ay:-1.04565 az:-0.0310059 gx:-2.31298 gy:104.015 gz:21.5573 | Class: 5 | Delay: 3.85155 ms
ax:-0.154541 ay:-1.07349 az:0.0874023 gx:-13.1908 gy:124.626 gz:36.1832 | Class: 5 | Delay: 3.26519 ms
ax:-0.0383301 ay:-1.11011 az:-0.0483398 gx:5.48092 gy:122.275 gz:62.4427 | Class: 5 | Delay: 3.2636 ms
ax:-0.225586 ay:-0.829346 az:-0.0864258 gx:13.6183 gy:132.221 gz:-0.801527 | Class: 5 | Delay: 3.25336 ms
ax:-0.101074 ay:-1.2251 az:-0.267822 gx:17.7176 gy:129.153 gz:17.3511 | Class: 5 | Delay: 3.2514 ms
ax:-0.0319824 ay:-0.844238 az:-0.159424 gx:13.542 gy:114.664 gz:3.66412 | Class: 5 | Delay: 3.25075 ms
ax:-0.165039 ay:-0.907227 az:-0.115234 gx:7.61069 gy:100.427 gz:0.648855 | Class: 5 | Delay: 3.27114 ms
ax:-0.126953 ay:-0.929688 az:-0.211182 gx:1.29008 gy:76.6794 gz:8.43511 | Class: 5 | Delay: 3.27406 ms
ax:-0.176025 ay:-1.052 az:-0.118408 gx:9.59542 gy:46.229 gz:7.65649 | Class: 5 | Delay: 3.28377 ms
ax:-0.254639 ay:-0.991943 az:-0.0913086 gx:5.30534 gy:23.9771 gz:5.89313 | Class: 5 | Delay: 3.28395 ms
ax:-0.193604 ay:-0.973145 az:-0.0964355 gx:-2.53435 gy:0.618321 gz:-0.580153 | Class: 5 | Delay: 3.28512 ms
ax:-0.136719 ay:-0.999268 az:-0.0639648 gx:-3.83206 gy:-9.30534 gz:-0.992366 | Class: 5 | Delay: 3.27854 ms
ax:-0.165283 ay:-1.03076 az:-0.108643 gx:-1.29008 gy:-10.1679 gz:-0.19084 | Class: 5 | Delay: 3.27714 ms
ax:-0.173096 ay:-0.98291 az:-0.0720215 gx:-0.770992 gy:-5.9771 gz:0.274809 | Class: 5 | Delay: 3.28047 ms
ax:-0.175537 ay:-0.964111 az:-0.108154 gx:0.10687 gy:-2.59542 gz:0.10687 | Class: 5 | Delay: 3.27225 ms
ax:-0.155029 ay:-0.985107 az:-0.092041 gx:0.854962 gy:-0.801527 gz:0.435115 | Class: 5 | Delay: 3.27638 ms
ax:-0.161133 ay:-0.98291 az:-0.0974121 gx:-0.305344 gy:-1.10687 gz:0.625954 | Class: 5 | Delay: 3.28293 ms
ax:-0.15625 ay:-0.976807 az:-0.101318 gx:-0.458015 gy:-0.839695 gz:0.70229 | Class: 5 | Delay: 3.28529 ms
ax:-0.156738 ay:-0.971436 az:-0.102051 gx:0.198473 gy:-0.870229 gz:0.80916 | Class: 5 | Delay: 3.27645 ms
ax:-0.15625 ay:-0.996338 az:-0.0908203 gx:0.206107 gy:-0.709924 gz:0.89313 | Class: 1 | Delay: 3.27497 ms
ax:-0.159912 ay:-0.981689 az:-0.0966797 gx:0.00763359 gy:-0.946565 gz:0.51145 | Class: 1 | Delay: 3.27545 ms
