t,mode,S,prom
21.85,4.0,4.0,2.0636587381362914
21.86,4.0,4.0,2.0023576855659484
21.87,4.0,4.0,1.9410566329956052
21.88,4.0,4.0,1.8602272510528564
21.89,4.0,4.0,1.7582913756370544
21.9,4.0,4.0,1.6361008286476135
21.91,4.0,4.0,1.5183456778526303
21.92,4.0,4.0,1.3810761094093322
21.93,4.0,4.0,1.2341436505317689
21.94,4.0,4.0,1.0825163811445235
21.95,4.0,4.0,0.9293253511190415
21.96,4.0,4.0,0.768181774020195
21.97,4.0,4.0,0.6070381969213485
21.98,4.0,4.0,0.43181968927383424
21.99,4.0,4.0,0.26402062773704527
22.0,4.0,4.0,0.13400858044624328
22.01,4.0,4.0,0.003996533155441284
22.02,5.0,5.0,-0.08924118876457214
22.03,5.0,5.0,-0.16008251309394836
22.04,5.0,5.0,-0.20876747071743013
22.05,5.0,5.0,-0.25548056662082674
22.06,5.0,5.0,-0.27542739808559413
22.07,5.0,5.0,-0.3315661698579788
22.08,5.0,5.0,-0.35816327929496766
22.09,5.0,5.0,-0.3679021239280701
22.1,5.0,5.0,-0.40279032588005065
22.11,5.0,5.0,-0.43767852783203126
22.12,5.0,5.0,-0.48037796020507806
22.13,5.0,5.0,-0.5197209179401397
22.14,5.0,5.0,-0.5686211526393891
22.15,5.0,5.0,-0.6045172810554504
22.16,5.0,5.0,-0.6404134094715118
22.17,5.0,5.0,-0.6415352821350098
22.18,5.0,5.0,-0.6498374104499817
22.19,5.0,5.0,-0.6894896864891052
22.2,5.0,5.0,-0.7443130552768707
22.21,5.0,5.0,-0.8022383451461792
22.22,5.0,5.0,-0.8696123123168945
22.23,5.0,5.0,-0.9369502484798432
22.24,5.0,5.0,-0.9951460719108579
22.25,5.0,5.0,-1.0503042817115784
22.26,5.0,5.0,-1.1088844656944274
22.27,5.0,5.0,-1.1660469651222227
22.28,5.0,5.0,-1.2172549366950989
22.29,5.0,5.0,-1.2352796792984009
22.3,5.0,5.0,-1.2103792667388915
22.31,5.0,5.0,-1.182376933097839
22.32,5.0,5.0,-1.132069718837738
22.33,5.0,5.0,-1.0723687529563903
22.34,5.0,5.0,-1.0102750420570374
22.35,5.0,5.0,-0.947630798816681
22.36,5.0,5.0,-0.8814473152160643
22.37,5.0,5.0,-0.815263831615448
22.38,5.0,5.0,-0.7406753659248352
22.39,5.0,5.0,-0.6616637408733368
22.4,5.0,5.0,-0.5940045773983001
22.41,5.0,5.0,-0.5391795039176941
22.42,5.0,5.0,-0.5066593110561369
22.43,5.0,5.0,-0.5105613350868226
22.44,5.0,5.0,-0.5107455611228943
22.45,5.0,5.0,-0.49122314453125
22.46,5.0,5.0,-0.4797974228858948
22.47,5.0,5.0,-0.4683717012405396
22.48,5.0,5.0,-0.4774829149246216
22.49,5.0,5.0,-0.5013132452964784
22.5,5.0,5.0,-0.5304388105869293
22.51,5.0,5.0,-0.5430200755596161
22.52,5.0,5.0,-0.5556013405323028
22.53,5.0,10.0,-0.5465722560882569
22.54,1.0,1.0,-0.5469077229499817
22.55,1.0,1.0,-0.5669700145721436
22.56,1.0,1.0,-0.5790528774261473
22.57,1.0,1.0,-0.5913473010063172
22.58,1.0,1.0,-0.5866869330406189
22.59,1.0,1.0,-0.5790314972400665
22.6,1.0,1.0,-0.5767292559146882
22.61,1.0,1.0,-0.5781372249126434
22.62,1.0,1.0,-0.5823336184024811
22.63,1.0,1.0,-0.5927990853786469
22.64,1.0,1.0,-0.6087003171443939
22.65,1.0,1.0,-0.6281151473522185
22.66,1.0,1.0,-0.6475299775600434
22.67,1.0,1.0,-0.669984495639801
22.68,1.0,1.0,-0.6949931383132936
22.69,1.0,1.0,-0.7197095096111298
22.7,1.0,1.0,-0.7415669202804565
22.71,1.0,1.0,-0.7634243309497833
22.72,1.0,1.0,-0.780191868543625
22.73,1.0,1.0,-0.7893016397953033
22.74,1.0,1.0,-0.7906647622585296
22.75,1.0,1.0,-0.7873433232307434
22.76,1.0,1.0,-0.7850244045257568
22.77,1.0,1.0,-0.7794542372226715
22.78,1.0,1.0,-0.7728432893753053
22.79,1.0,1.0,-0.7668039023876189
22.8,1.0,1.0,-0.7630614340305328
22.81,1.0,1.0,-0.7630679905414581
22.82,1.0,1.0,-0.7653759956359862
22.83,1.0,1.0,-0.7775175988674163
22.84,1.0,1.0,-0.7996448040008544
22.85,1.0,1.0,-0.8302908718585968
22.86,1.0,1.0,-0.8686279833316803
22.87,1.0,1.0,-0.9069650948047638
22.88,1.0,1.0,-0.9528224349021912
22.89,1.0,1.0,-1.006038451194763
22.9,1.0,1.0,-1.0673974275588989
22.91,1.0,1.0,-1.1368724703788755
22.92,1.0,1.0,-1.2063475131988526
22.93,1.0,1.0,-1.281691437959671
22.94,1.0,1.0,-1.359341824054718
22.95,1.0,1.0,-1.4370606184005736
22.96,1.0,1.0,-1.511608326435089
22.97,1.0,1.0,-1.5861560344696044
22.98,1.0,1.0,-1.6483531594276428
22.99,1.0,1.0,-1.6915865182876586
23.0,1.0,1.0,-1.715101408958435
