time,ax,ay,az,gx,gy,gz
1746730181.7572122,1.54,-11.71,-9.52,2.29,0.07,0.17
1746730181.7572122,-0.54,-11.42,-10.34,3.37,0.16,0.44
1746730181.7572122,-2.23,-10.69,-9.82,4.25,0.14,0.5
1746730181.7656612,-3.11,-10.25,-8.91,4.37,0.01,0.32
1746730181.7820938,-3.68,-10.72,-7.66,4.37,-0.22,0.03
1746730181.7904308,-3.98,-9.58,-6.92,4.37,-0.42,-0.34
1746730181.7989335,-1.19,-9.81,-8.22,4.37,-0.66,-0.71
1746730181.8073795,-3.69,-10.92,-7.83,4.37,-1.31,-0.69
1746730181.8157523,-6.45,-7.01,-1.83,4.37,-1.55,-0.93
1746730181.8321726,-6.76,-6.84,4.51,4.37,-1.64,-1.73
1746730181.8738189,-4.99,-11.04,8.57,4.37,-1.25,-2.43
1746730181.8738189,0.75,-19.57,6.39,2.75,-0.55,-2.63
1746730181.8738189,0.85,-19.61,2.39,0.2,-0.02,-1.51
1746730181.8738189,-2.99,-15.82,-5.53,-1.57,0.42,-0.86
1746730181.8819468,-2.97,-9.6,-12.84,-2.36,0.39,-1.1
1746730181.8902702,-2.01,-6.55,-15.94,-1.58,-0.08,-1.05
1746730181.8986745,-3.06,-6.78,-14.57,0.11,-0.93,-0.5
1746730181.9071267,-2.52,-8.62,-12.16,0.6,-1.15,-0.57
1746730181.915567,-2.93,-11.02,-8.54,-0.02,-1.09,-0.31
1746730181.9320397,-3.46,-9.94,-8.7,-1.13,-0.91,-0.25
1746730182.014437,-3.74,-8.61,-10.26,-1.57,-0.78,-0.24
1746730182.0224369,-3.77,-7.68,-11.24,-1.32,-0.68,-0.18
1746730182.0224369,-3.65,-8.66,-10.03,-0.86,-0.66,-0.13
1746730182.0224369,-3.6,-11.09,-6.55,-1.08,-0.37,0.16
1746730182.0224369,-3.77,-11.16,-5.99,-2.04,0.08,0.39
1746730182.0224369,-4.13,-9.76,-7.0,-2.84,0.47,0.51
1746730182.0224369,-4.14,-8.32,-9.1,-2.99,0.75,0.56
1746730182.0224369,-3.7,-7.61,-10.44,-2.77,0.85,0.58
1746730182.030757,-3.12,-8.27,-9.83,-2.42,0.92,0.65
1746730182.030757,-2.83,-9.61,-8.57,-2.37,1.03,0.83
1746730182.0472677,-2.56,-10.54,-7.38,-2.58,1.15,1.01
1746730182.0472677,-2.53,-10.91,-6.82,-2.9,1.22,1.18
1746730182.0555341,-2.55,-10.72,-7.09,-3.09,1.23,1.29
1746730182.0720406,-2.44,-10.98,-6.94,-3.17,1.15,1.38
1746730182.0803676,-2.07,-11.38,-6.17,-3.2,1.03,1.47
1746730182.0887256,-1.73,-12.18,-5.29,-3.26,0.99,1.63
1746730182.09721,-1.98,-12.27,-4.04,-3.26,0.87,1.77
1746730182.105469,-2.93,-11.29,-2.96,-3.72,0.94,1.82
1746730182.1219687,-3.09,-10.88,-3.99,-3.76,0.98,1.74
1746730182.130483,-3.38,-10.63,-3.32,-3.41,0.96,1.65
1746730182.1720576,-3.63,-11.02,-2.14,-3.21,1.09,1.61
1746730182.1720576,-3.56,-11.25,-1.7,-3.15,1.26,1.59
1746730182.1720576,-3.16,-11.12,-2.17,-3.09,1.33,1.56
1746730182.1720576,-2.6,-10.99,-2.66,-2.93,1.33,1.6
1746730182.18031,-1.54,-10.58,-3.39,-2.62,1.31,1.65
1746730182.1888182,-0.89,-10.87,-3.82,-2.22,1.2,1.79
